geoid,name,totpop,totpop_e,owner,owner_e,renter,renter_e
14000US42101000101,"Census Tract 1.01, Philadelphia, PA",2004,313,539,213,1465,279
14000US42101000102,"Census Tract 1.02, Philadelphia, PA",2722,531,1100,342,1622,406
14000US42101000200,"Census Tract 2, Philadelphia, PA",3218,591,1701,639,1517,360
14000US42101000300,"Census Tract 3, Philadelphia, PA",3261,436,956,234,2305,388
14000US42101000401,"Census Tract 4.01, Philadelphia, PA",2526,432,945,302,1581,334
14000US42101000403,"Census Tract 4.03, Philadelphia, PA",965,336,654,338,311,119
14000US42101000404,"Census Tract 4.04, Philadelphia, PA",3260,346,1395,262,1865,346
14000US42101000500,"Census Tract 5, Philadelphia, PA",1568,194,114,78,1454,185
14000US42101000600,"Census Tract 6, Philadelphia, PA",1437,233,21,23,1416,237
14000US42101000701,"Census Tract 7.01, Philadelphia, PA",1666,363,434,169,1232,353
14000US42101000702,"Census Tract 7.02, Philadelphia, PA",2181,564,407,159,1774,535
14000US42101000801,"Census Tract 8.01, Philadelphia, PA",1670,350,600,176,1070,336
14000US42101000803,"Census Tract 8.03, Philadelphia, PA",2911,475,1268,312,1643,401
14000US42101000805,"Census Tract 8.05, Philadelphia, PA",2532,443,631,229,1901,444
14000US42101000806,"Census Tract 8.06, Philadelphia, PA",2227,364,649,184,1578,385
14000US42101000901,"Census Tract 9.01, Philadelphia, PA",2073,304,181,102,1892,299
14000US42101000902,"Census Tract 9.02, Philadelphia, PA",2290,396,475,179,1815,387
14000US42101001001,"Census Tract 10.01, Philadelphia, PA",2809,444,1752,270,1057,411
14000US42101001002,"Census Tract 10.02, Philadelphia, PA",3644,429,2723,448,921,220
14000US42101001101,"Census Tract 11.01, Philadelphia, PA",3754,718,921,281,2833,730
14000US42101001102,"Census Tract 11.02, Philadelphia, PA",2653,424,1603,430,1050,216
14000US42101001201,"Census Tract 12.01, Philadelphia, PA",4220,776,2080,430,2140,702
14000US42101001203,"Census Tract 12.03, Philadelphia, PA",1965,307,706,251,1259,206
14000US42101001204,"Census Tract 12.04, Philadelphia, PA",2706,337,937,228,1769,333
14000US42101001301,"Census Tract 13.01, Philadelphia, PA",1924,592,1470,596,454,123
14000US42101001302,"Census Tract 13.02, Philadelphia, PA",5086,1078,2937,1087,2149,499
14000US42101001400,"Census Tract 14, Philadelphia, PA",4140,738,2476,734,1664,332
14000US42101001500,"Census Tract 15, Philadelphia, PA",3152,678,2198,730,954,242
14000US42101001600,"Census Tract 16, Philadelphia, PA",2349,426,1346,301,1003,364
14000US42101001700,"Census Tract 17, Philadelphia, PA",3021,585,2162,574,859,192
14000US42101001800,"Census Tract 18, Philadelphia, PA",3299,329,1945,296,1354,276
14000US42101001900,"Census Tract 19, Philadelphia, PA",4026,535,2412,463,1614,380
14000US42101002000,"Census Tract 20, Philadelphia, PA",2004,261,1347,221,657,218
14000US42101002100,"Census Tract 21, Philadelphia, PA",2381,354,1527,350,854,207
14000US42101002200,"Census Tract 22, Philadelphia, PA",2355,401,1122,373,1233,261
14000US42101002300,"Census Tract 23, Philadelphia, PA",2972,463,1625,382,1347,450
14000US42101002400,"Census Tract 24, Philadelphia, PA",4860,588,2800,508,2060,459
14000US42101002500,"Census Tract 25, Philadelphia, PA",4393,588,2525,448,1868,455
14000US42101002701,"Census Tract 27.01, Philadelphia, PA",3890,516,2353,476,1537,365
14000US42101002702,"Census Tract 27.02, Philadelphia, PA",4475,613,3169,465,1306,465
14000US42101002801,"Census Tract 28.01, Philadelphia, PA",4500,783,1762,483,2738,879
14000US42101002802,"Census Tract 28.02, Philadelphia, PA",5491,789,3392,618,2099,784
14000US42101002900,"Census Tract 29, Philadelphia, PA",4096,544,2856,399,1240,459
14000US42101003001,"Census Tract 30.01, Philadelphia, PA",3414,404,2152,408,1262,370
14000US42101003002,"Census Tract 30.02, Philadelphia, PA",3124,434,1826,388,1298,257
14000US42101003100,"Census Tract 31, Philadelphia, PA",5220,1138,2967,1065,2253,836
14000US42101003200,"Census Tract 32, Philadelphia, PA",3946,523,2122,475,1824,550
14000US42101003300,"Census Tract 33, Philadelphia, PA",6303,1074,2149,847,4154,1087
14000US42101003600,"Census Tract 36, Philadelphia, PA",6918,1472,3717,1174,3201,1088
14000US42101003701,"Census Tract 37.01, Philadelphia, PA",6004,984,4012,1082,1992,784
14000US42101003702,"Census Tract 37.02, Philadelphia, PA",3867,883,1729,569,2138,868
14000US42101003800,"Census Tract 38, Philadelphia, PA",3906,673,3228,644,678,282
14000US42101003901,"Census Tract 39.01, Philadelphia, PA",6373,684,3293,704,3080,671
14000US42101003902,"Census Tract 39.02, Philadelphia, PA",5569,712,4019,615,1550,630
14000US42101004001,"Census Tract 40.01, Philadelphia, PA",4103,519,2137,504,1966,513
14000US42101004002,"Census Tract 40.02, Philadelphia, PA",5199,959,3956,973,1243,727
14000US42101004101,"Census Tract 41.01, Philadelphia, PA",5020,803,3080,533,1940,766
14000US42101004103,"Census Tract 41.03, Philadelphia, PA",4751,1706,1970,863,2781,1579
14000US42101004104,"Census Tract 41.04, Philadelphia, PA",4143,856,1891,458,2252,883
14000US42101004201,"Census Tract 42.01, Philadelphia, PA",4985,673,4046,759,939,399
14000US42101004202,"Census Tract 42.02, Philadelphia, PA",5434,866,4120,751,1314,610
14000US42101005400,"Census Tract 54, Philadelphia, PA",1568,271,589,216,979,250
14000US42101005500,"Census Tract 55, Philadelphia, PA",6519,989,4229,644,2290,818
14000US42101005600,"Census Tract 56, Philadelphia, PA",1170,271,132,67,1038,271
14000US42101006000,"Census Tract 60, Philadelphia, PA",6230,932,3855,921,2375,846
14000US42101006100,"Census Tract 61, Philadelphia, PA",2779,519,2070,403,709,343
14000US42101006200,"Census Tract 62, Philadelphia, PA",4252,672,1872,566,2380,629
14000US42101006300,"Census Tract 63, Philadelphia, PA",3696,739,945,280,2751,743
14000US42101006400,"Census Tract 64, Philadelphia, PA",4711,914,2774,795,1937,729
14000US42101006500,"Census Tract 65, Philadelphia, PA",4270,943,2463,596,1807,864
14000US42101006600,"Census Tract 66, Philadelphia, PA",3523,970,1189,454,2334,950
14000US42101006700,"Census Tract 67, Philadelphia, PA",7875,1341,3210,1075,4665,1407
14000US42101007000,"Census Tract 70, Philadelphia, PA",3620,950,1702,381,1918,946
14000US42101007101,"Census Tract 71.01, Philadelphia, PA",2518,439,1028,246,1490,471
14000US42101007102,"Census Tract 71.02, Philadelphia, PA",4436,685,2084,538,2352,641
14000US42101007200,"Census Tract 72, Philadelphia, PA",4445,925,2048,671,2397,944
14000US42101007300,"Census Tract 73, Philadelphia, PA",3173,607,1471,476,1702,607
14000US42101007400,"Census Tract 74, Philadelphia, PA",4505,859,1827,418,2678,923
14000US42101007700,"Census Tract 77, Philadelphia, PA",1316,206,262,76,1054,215
14000US42101007800,"Census Tract 78, Philadelphia, PA",4029,517,1310,374,2719,475
14000US42101007900,"Census Tract 79, Philadelphia, PA",4314,615,2418,644,1896,296
14000US42101008000,"Census Tract 80, Philadelphia, PA",4019,795,1924,489,2095,803
14000US42101008101,"Census Tract 81.01, Philadelphia, PA",3320,594,1478,636,1842,461
14000US42101008102,"Census Tract 81.02, Philadelphia, PA",4636,901,3391,1011,1245,442
14000US42101008200,"Census Tract 82, Philadelphia, PA",6906,1315,4249,987,2657,1323
14000US42101008301,"Census Tract 83.01, Philadelphia, PA",4072,888,2131,762,1941,899
14000US42101008302,"Census Tract 83.02, Philadelphia, PA",4556,706,1853,505,2703,668
14000US42101008400,"Census Tract 84, Philadelphia, PA",5045,1007,3079,1070,1966,455
14000US42101008500,"Census Tract 85, Philadelphia, PA",6199,859,2555,632,3644,877
14000US42101008601,"Census Tract 86.01, Philadelphia, PA",3536,563,932,458,2604,577
14000US42101008602,"Census Tract 86.02, Philadelphia, PA",3068,572,463,187,2605,627
14000US42101008701,"Census Tract 87.01, Philadelphia, PA",3178,411,713,267,2465,480
14000US42101008702,"Census Tract 87.02, Philadelphia, PA",2531,435,463,172,2068,441
14000US42101008801,"Census Tract 88.01, Philadelphia, PA",626,262,0,11,626,262
14000US42101008802,"Census Tract 88.02, Philadelphia, PA",3095,823,128,158,2967,802
14000US42101009000,"Census Tract 90, Philadelphia, PA",2766,587,232,80,2534,553
14000US42101009100,"Census Tract 91, Philadelphia, PA",2746,345,672,178,2074,319
14000US42101009200,"Census Tract 92, Philadelphia, PA",3483,573,1437,364,2046,482
14000US42101009300,"Census Tract 93, Philadelphia, PA",5171,645,3060,718,2111,515
14000US42101009400,"Census Tract 94, Philadelphia, PA",3891,581,991,233,2900,606
14000US42101009500,"Census Tract 95, Philadelphia, PA",3436,655,1156,382,2280,554
14000US42101009600,"Census Tract 96, Philadelphia, PA",3775,638,1731,438,2044,662
14000US42101009801,"Census Tract 98.01, Philadelphia, PA",2455,640,1706,572,749,272
14000US42101009802,"Census Tract 98.02, Philadelphia, PA",5707,990,4391,1206,1316,568
14000US42101010000,"Census Tract 100, Philadelphia, PA",5041,747,3342,721,1699,654
14000US42101010100,"Census Tract 101, Philadelphia, PA",5531,1197,3159,840,2372,1318
14000US42101010200,"Census Tract 102, Philadelphia, PA",3507,659,1450,692,2057,494
14000US42101010300,"Census Tract 103, Philadelphia, PA",2757,655,829,385,1928,686
14000US42101010400,"Census Tract 104, Philadelphia, PA",3365,823,1095,377,2270,891
14000US42101010500,"Census Tract 105, Philadelphia, PA",3425,609,1384,383,2041,600
14000US42101010600,"Census Tract 106, Philadelphia, PA",1608,376,468,266,1140,450
14000US42101010700,"Census Tract 107, Philadelphia, PA",3466,892,1562,435,1904,879
14000US42101010800,"Census Tract 108, Philadelphia, PA",4358,789,988,300,3370,782
14000US42101010900,"Census Tract 109, Philadelphia, PA",2722,388,573,231,2149,391
14000US42101011000,"Census Tract 110, Philadelphia, PA",2853,802,1048,395,1805,773
14000US42101011100,"Census Tract 111, Philadelphia, PA",3815,704,2615,717,1200,520
14000US42101011200,"Census Tract 112, Philadelphia, PA",6434,1359,2971,842,3463,1381
14000US42101011300,"Census Tract 113, Philadelphia, PA",3533,706,2216,523,1317,598
14000US42101011400,"Census Tract 114, Philadelphia, PA",6388,1139,3994,1054,2394,725
14000US42101011500,"Census Tract 115, Philadelphia, PA",4606,717,3643,771,963,435
14000US42101011700,"Census Tract 117, Philadelphia, PA",938,236,775,231,163,75
14000US42101011800,"Census Tract 118, Philadelphia, PA",5583,941,5110,1011,473,277
14000US42101011900,"Census Tract 119, Philadelphia, PA",5113,1124,3372,1265,1741,513
14000US42101012000,"Census Tract 120, Philadelphia, PA",1611,367,936,328,675,232
14000US42101012100,"Census Tract 121, Philadelphia, PA",2852,454,1069,201,1783,438
14000US42101012201,"Census Tract 122.01, Philadelphia, PA",2828,521,0,11,2828,521
14000US42101012203,"Census Tract 122.03, Philadelphia, PA",855,233,0,11,855,233
14000US42101012204,"Census Tract 122.04, Philadelphia, PA",3486,439,1801,384,1685,401
14000US42101012501,"Census Tract 125.01, Philadelphia, PA",1589,443,0,11,1589,443
14000US42101012502,"Census Tract 125.02, Philadelphia, PA",3697,476,714,285,2983,393
14000US42101013100,"Census Tract 131, Philadelphia, PA",1656,307,291,108,1365,281
14000US42101013200,"Census Tract 132, Philadelphia, PA",2687,354,545,267,2142,386
14000US42101013300,"Census Tract 133, Philadelphia, PA",3146,501,738,187,2408,516
14000US42101013401,"Census Tract 134.01, Philadelphia, PA",2909,357,1794,262,1115,287
14000US42101013402,"Census Tract 134.02, Philadelphia, PA",2980,476,1078,283,1902,428
14000US42101013500,"Census Tract 135, Philadelphia, PA",4015,468,2747,547,1268,288
14000US42101013601,"Census Tract 136.01, Philadelphia, PA",2981,254,1855,293,1126,302
14000US42101013602,"Census Tract 136.02, Philadelphia, PA",4162,511,2180,339,1982,547
14000US42101013701,"Census Tract 137.01, Philadelphia, PA",1557,362,718,226,839,287
14000US42101013702,"Census Tract 137.02, Philadelphia, PA",3998,988,1738,810,2260,740
14000US42101013800,"Census Tract 138, Philadelphia, PA",1806,322,765,285,1041,249
14000US42101013900,"Census Tract 139, Philadelphia, PA",2513,909,1125,649,1388,678
14000US42101014000,"Census Tract 140, Philadelphia, PA",4470,945,787,362,3683,1013
14000US42101014100,"Census Tract 141, Philadelphia, PA",2553,568,735,322,1818,424
14000US42101014201,"Census Tract 142.01, Philadelphia, PA",3673,574,1719,571,1954,458
14000US42101014202,"Census Tract 142.02, Philadelphia, PA",2350,483,860,355,1490,411
14000US42101014300,"Census Tract 143, Philadelphia, PA",1970,230,1089,154,881,208
14000US42101014400,"Census Tract 144, Philadelphia, PA",5042,772,2717,615,2325,775
14000US42101014500,"Census Tract 145, Philadelphia, PA",2038,388,625,305,1413,370
14000US42101014600,"Census Tract 146, Philadelphia, PA",2612,465,979,207,1633,476
14000US42101014700,"Census Tract 147, Philadelphia, PA",2589,555,421,363,2168,431
14000US42101014800,"Census Tract 148, Philadelphia, PA",840,321,148,163,692,289
14000US42101014900,"Census Tract 149, Philadelphia, PA",4314,1085,1862,860,2452,862
14000US42101015101,"Census Tract 151.01, Philadelphia, PA",1993,453,697,275,1296,450
14000US42101015102,"Census Tract 151.02, Philadelphia, PA",5035,1411,1630,1136,3405,894
14000US42101015200,"Census Tract 152, Philadelphia, PA",5401,1423,1758,810,3643,1500
14000US42101015300,"Census Tract 153, Philadelphia, PA",3523,932,1115,907,2408,512
14000US42101015600,"Census Tract 156, Philadelphia, PA",1671,460,655,222,1016,438
14000US42101015700,"Census Tract 157, Philadelphia, PA",2340,430,1629,413,711,287
14000US42101015800,"Census Tract 158, Philadelphia, PA",7204,779,4893,916,2311,677
14000US42101016001,"Census Tract 160.01, Philadelphia, PA",2398,505,1763,343,635,431
14000US42101016002,"Census Tract 160.02, Philadelphia, PA",4504,815,2896,572,1608,608
14000US42101016100,"Census Tract 161, Philadelphia, PA",5883,659,3373,629,2510,561
14000US42101016200,"Census Tract 162, Philadelphia, PA",2447,633,1327,593,1120,401
14000US42101016300,"Census Tract 163, Philadelphia, PA",2632,595,965,560,1667,484
14000US42101016400,"Census Tract 164, Philadelphia, PA",4373,890,1630,508,2743,793
14000US42101016500,"Census Tract 165, Philadelphia, PA",3056,633,772,486,2284,604
14000US42101016600,"Census Tract 166, Philadelphia, PA",2010,639,667,430,1343,505
14000US42101016701,"Census Tract 167.01, Philadelphia, PA",3570,809,2000,704,1570,706
14000US42101016702,"Census Tract 167.02, Philadelphia, PA",2439,431,948,318,1491,490
14000US42101016800,"Census Tract 168, Philadelphia, PA",3417,1025,1399,421,2018,1110
14000US42101016901,"Census Tract 169.01, Philadelphia, PA",3189,1126,2029,1159,1160,582
14000US42101016902,"Census Tract 169.02, Philadelphia, PA",3275,882,1801,968,1474,611
14000US42101017000,"Census Tract 170, Philadelphia, PA",3024,582,693,258,2331,655
14000US42101017100,"Census Tract 171, Philadelphia, PA",3517,813,1905,526,1612,768
14000US42101017201,"Census Tract 172.01, Philadelphia, PA",3015,777,1767,649,1248,513
14000US42101017202,"Census Tract 172.02, Philadelphia, PA",4500,756,2710,682,1790,686
14000US42101017300,"Census Tract 173, Philadelphia, PA",2704,506,1308,542,1396,470
14000US42101017400,"Census Tract 174, Philadelphia, PA",2582,535,1275,495,1307,406
14000US42101017500,"Census Tract 175, Philadelphia, PA",6638,1311,3357,1080,3281,1481
14000US42101017601,"Census Tract 176.01, Philadelphia, PA",4619,883,2378,653,2241,858
14000US42101017602,"Census Tract 176.02, Philadelphia, PA",4029,826,1653,805,2376,769
14000US42101017701,"Census Tract 177.01, Philadelphia, PA",3401,904,1146,626,2255,801
14000US42101017702,"Census Tract 177.02, Philadelphia, PA",4706,797,2185,530,2521,671
14000US42101017800,"Census Tract 178, Philadelphia, PA",5818,1250,3327,1088,2491,960
14000US42101017900,"Census Tract 179, Philadelphia, PA",5742,1240,2907,1113,2835,1012
14000US42101018001,"Census Tract 180.01, Philadelphia, PA",2289,307,1424,351,865,289
14000US42101018002,"Census Tract 180.02, Philadelphia, PA",5982,1145,4862,1131,1120,379
14000US42101018300,"Census Tract 183, Philadelphia, PA",4037,695,3722,703,315,156
14000US42101018400,"Census Tract 184, Philadelphia, PA",2302,426,2074,399,228,170
14000US42101018801,"Census Tract 188.01, Philadelphia, PA",3383,836,1420,545,1963,734
14000US42101018802,"Census Tract 188.02, Philadelphia, PA",4108,1573,1017,893,3091,1865
14000US42101019000,"Census Tract 190, Philadelphia, PA",7750,1362,5704,1375,2046,767
14000US42101019100,"Census Tract 191, Philadelphia, PA",7997,1339,6228,1416,1769,682
14000US42101019200,"Census Tract 192, Philadelphia, PA",8634,1451,5121,1504,3513,1132
14000US42101019501,"Census Tract 195.01, Philadelphia, PA",4931,1123,1804,610,3127,1198
14000US42101019502,"Census Tract 195.02, Philadelphia, PA",3870,840,2269,767,1601,527
14000US42101019700,"Census Tract 197, Philadelphia, PA",6971,1215,2719,823,4252,1229
14000US42101019800,"Census Tract 198, Philadelphia, PA",6090,804,3522,876,2568,929
14000US42101019900,"Census Tract 199, Philadelphia, PA",5381,1268,1770,646,3611,1256
14000US42101020000,"Census Tract 200, Philadelphia, PA",1105,185,284,149,821,211
14000US42101020101,"Census Tract 201.01, Philadelphia, PA",3157,707,707,598,2450,571
